BWA,Botswana,Lower,15.6731,15.1426,14.6099,14.0633,13.5505,13.0204,12.5026,12.0149,11.5458,11.0945,10.6237,10.1744,9.7291,9.2763,8.8227,8.3949,7.9825,7.5799,7.1653,6.7611,6.3559,5.9329,5.5577,5.2077,4.8945,4.5936,4.3313,4.0648,3.8415,3.6087
BWA,Botswana,Median,19.4013,18.6845,17.9807,17.2394,16.5549,15.8839,15.2152,14.5578,13.9243,13.3288,12.7412,12.1772,11.6259,11.1012,10.5953,10.1128,9.6557,9.2261,8.8129,8.4272,8.0628,7.7171,7.4094,7.1189,6.8592,6.6264,6.4123,6.2011,6.0076,5.8162
BWA,Botswana,Upper,24.7637,23.8386,22.9794,22.0856,21.1428,20.1246,19.1387,18.1943,17.2564,16.3038,15.4188,14.5895,13.8914,13.2508,12.6673,12.1378,11.6751,11.2777,10.9280,10.5798,10.2813,10.0706,9.8606,9.6831,9.5667,9.4335,9.4111,9.3832,9.3474,9.3327
BRA,Brazil,Lower,4.0423,3.9341,3.8451,3.7699,3.7039,3.6408,3.5725,3.5001,3.4270,3.3605,3.2992,3.2427,3.1929,3.1455,3.1027,3.0625,3.0261,2.9956,2.9622,2.9260,2.8840,2.8335,2.7767,2.7115,2.6434,2.5734,2.4971,2.4109,2.3158,2.2016
BRA,Brazil,Median,4.1292,4.0089,3.9140,3.8373,3.7700,3.7057,3.6367,3.5627,3.4877,3.4189,3.3562,3.2996,3.2485,3.2020,3.1578,3.1177,3.0805,3.0468,3.0134,2.9767,2.9343,2.8845,2.8263,2.7614,2.6925,2.6219,2.5526,2.4858,2.4219,2.3567
BRA,Brazil,Upper,4.2177,4.0832,3.9843,3.9074,3.8388,3.7719,3.7032,3.6264,3.5514,3.4794,3.4155,3.3590,3.3063,3.2589,3.2135,3.1725,3.1365,3.1014,3.0668,3.0289,2.9866,2.9358,2.8761,2.8111,2.7407,2.6722,2.6096,2.5618,2.5314,2.5187
BRN,Brunei Darussalam,Lower,4.0584,4.0046,3.9343,3.8442,3.7471,3.6397,3.5340,3.4220,3.3185,3.2180,3.1356,3.0552,2.9822,2.9140,2.8513,2.7907,2.7357,2.6814,2.6305,2.5849,2.5368,2.4953,2.4544,2.4065,2.3577,2.2979,2.2343,2.1594,2.0802,1.9943
BRN,Brunei Darussalam,Median,4.8450,4.6642,4.4870,4.3223,4.1651,4.0162,3.8763,3.7507,3.6364,3.5360,3.4444,3.3614,3.2848,3.2125,3.1460,3.0843,3.0252,2.9684,2.9158,2.8641,2.8160,2.7686,2.7245,2.6834,2.6421,2.5993,2.5588,2.5149,2.4730,2.4288
BRN,Brunei Darussalam,Upper,5.8043,5.4446,5.1220,4.8494,4.6171,4.4282,4.2533,4.1130,3.9893,3.8794,3.7821,3.6936,3.6095,3.5387,3.4679,3.4041,3.3410,3.2796,3.2203,3.1680,3.1176,3.0695,3.0260,2.9869,2.9574,2.9336,2.9173,2.9227,2.9255,2.9358
BGR,Bulgaria,Lower,3.8172,3.7857,3.7356,3.7003,3.6943,3.6815,3.6520,3.5700,3.4311,3.2191,2.9416,2.7362,2.6278,2.6038,2.6487,2.6914,2.7012,2.6587,2.5812,2.4737,2.3345,2.1835,2.0376,1.9050,1.7978,1.7110,1.6568,1.6219,1.5835,1.5231
BGR,Bulgaria,Median,3.9879,3.9402,3.8958,3.8652,3.8499,3.8443,3.8305,3.7684,3.6114,3.3742,3.1321,2.9446,2.8329,2.7959,2.8154,2.8464,2.8597,2.8358,2.7565,2.6267,2.4724,2.3166,2.1666,2.0345,1.9248,1.8409,1.7806,1.7411,1.7155,1.6987
BGR,Bulgaria,Upper,4.1676,4.1039,4.0560,4.0279,4.0093,4.0189,4.0156,3.9861,3.8311,3.5395,3.3188,3.1785,3.0769,3.0065,2.9769,3.0175,3.0518,3.0321,2.9477,2.7986,2.6265,2.4502,2.2944,2.1661,2.0554,1.9720,1.9043,1.8653,1.8663,1.9219
BFA,Burkina Faso,Lower,31.7177,31.8828,32.0164,32.1614,32.1961,32.1594,31.9289,31.6257,31.1095,30.4456,29.7402,28.8807,27.8692,26.6882,25.3627,23.9374,22.5179,21.0068,19.5197,18.0527,16.6816,15.5569,14.5127,13.4746,12.5682,11.8241,11.1500,10.4685,9.8942,9.3289
BFA,Burkina Faso,Median,36.8860,36.7734,36.7359,36.7290,36.7790,36.7588,36.5892,36.3053,35.8603,35.2354,34.4807,33.5146,32.4233,31.2321,30.0132,28.7785,27.5710,26.4145,25.2663,24.2178,23.2968,22.4600,21.7027,21.0211,20.3136,19.7266,19.0872,18.5075,17.9654,17.3916
BFA,Burkina Faso,Upper,42.6241,42.2105,41.9046,41.8075,41.9148,42.0385,42.1328,42.0325,41.6987,41.2109,40.4024,39.2063,38.0477,36.9095,35.7507,34.6900,33.7356,33.0737,32.4535,31.9990,31.5156,31.1766,30.9285,30.7862,30.6273,30.5223,30.3571,30.2061,30.1586,29.9574
BDI,Burundi,Lower,46.7023,48.8680,50.5452,81.1955,57.7504,56.5905,53.1948,53.4516,53.2593,52.3546,50.5755,48.1489,44.7546,40.9049,36.6846,32.4818,28.6232,25.2726,22.7629,20.9105,19.6757,18.8480,18.3581,18.0563,17.7202,17.1161,16.2773,15.2944,14.2785,13.3200
BDI,Burundi,Median,58.1801,60.9032,63.1820,101.9371,72.4952,70.6451,66.1212,65.7090,64.9391,63.4472,61.2661,57.9594,53.6587,48.7283,43.5969,38.7525,34.3528,30.7371,27.9221,25.8765,24.5368,23.6455,23.1127,22.8023,22.6612,22.5439,22.4227,22.1722,21.7601,21.3227
BDI,Burundi,Upper,72.1546,76.2281,79.7129,129.2043,92.0418,88.8915,82.4545,81.1195,79.4206,77.1999,74.2180,70.3164,64.9492,58.5860,51.9738,45.9966,41.0134,37.2026,34.3194,32.1099,30.4123,29.3144,28.7333,28.5995,28.9795,30.0894,31.6375,33.4644,34.9737,36.4287
